Month,Year,Labor Force,Single Family Home,Condo/Townhome,SJ Unemployment,SJ Metro Unemployment,Education and Health Services Jobs,Professional and Business Services Jobs,"Trade, Transportation and Utilities Jobs",Manufacturing Jobs,Leisure and Hospitality Jobs,Construction Jobs,Financial Activities Jobs,Public Administration Jobs,Information Jobs,Other Services Jobs,Unclassified Jobs,Natural Resources and Mining Jobs
Jan,2006,424483,683000,449888,5.4,4.9,,,,,,,,,,,,
Feb,2006,425242,710000,485000,5.4,4.9,,,,,,,,,,,,
Mar,2006,425720,709000,455000,5.3,4.8,,,,,,,,,,,,
Apr,2006,424629,705000,475000,4.9,4.5,,,,,,,,,,,,
May,2006,423921,730000,470000,4.6,4.2,,,,,,,,,,,,
Jun,2006,427321,740000,460000,5.1,4.6,,,,,,,,,,,,
Jul,2006,432568,745000,490000,5.4,4.8,,,,,,,,,,,,
Aug,2006,432538,721000,480000,5.1,4.6,,,,,,,,,,,,
Sep,2006,430069,715000,458000,4.9,4.4,,,,,,,,,,,,
Oct,2006,431836,721500,457000,4.7,4.2,,,,,,,,,,,,
Nov,2006,433243,729000,485000,4.9,4.4,,,,,,,,,,,,
Dec,2006,434327,695000,486525,4.5,4.1,,,,,,,,,,,,
Jan,2007,435837,697000,485000,5.3,4.8,,,,,,,,,,,,
Feb,2007,436571,715000,472000,5.1,4.7,,,,,,,,,,,,
Mar,2007,437212,735000,510000,5.1,4.6,,,,,,,,,,,,
Apr,2007,433588,762000,485000,4.9,4.5,,,,,,,,,,,,
May,2007,434526,760000,506500,4.7,4.3,,,,,,,,,,,,
Jun,2007,439508,772050,498250,5.3,4.8,,,,,,,,,,,,
Jul,2007,445269,769000,470000,5.6,5.1,,,,,,,,,,,,
Aug,2007,443044,765000,482500,5.5,4.9,,,,,,,,,,,,
Sep,2007,442242,747000,490000,5.4,4.8,,,,,,,,,,,,
Oct,2007,444458,737000,460000,5.4,4.8,,,,,,,,,,,,
Nov,2007,446851,745000,477500,5.4,4.9,,,,,,,,,,,,
Dec,2007,445180,699000,452500,5.3,4.9,,,,,,,,,,,,
Jan,2008,448486,664444,410000,5.7,5.2,66797.00,66408.00,65069.00,60718.00,32480.00,22706.00,15864.00,17997.00,8820.00,15453.00,1044.00,661.00
Feb,2008,447191,669800,480000,5.6,5.2,68145.00,66851.00,64781.00,60829.00,33558.00,22907.00,16024.00,17895.00,8858.00,15759.00,1199.00,678.00
Mar,2008,449710,662500,465000,5.9,5.4,67470.00,66837.00,64889.00,60883.00,33877.00,22879.00,15877.00,17836.00,8807.00,15894.00,1385.00,576.00
Apr,2008,447345,665000,397500,5.5,5.1,67540.00,66733.00,64423.00,60533.00,34017.00,22608.00,15846.00,17865.00,8810.00,16262.00,1317.00,600.00
May,2008,448592,625000,438826,6,5.4,67655.00,65940.00,64517.00,61065.00,33912.00,22868.00,15862.00,18587.00,8832.00,16687.00,1445.00,583.00
Jun,2008,453207,600000,375500,6.7,6,66577.00,66320.00,64212.00,61358.00,34154.00,22913.00,15748.00,17975.00,8841.00,16572.00,1542.00,907.00
Jul,2008,458450,600000,375000,7.1,6.4,57075.00,66013.00,64170.00,60856.00,33943.00,22947.00,15740.00,18062.00,9061.00,16226.00,1216.00,975.00
